,Accuracy,Recall_inc,Recall_cor,Precision_inc,Precision_cor,F1_inc,F1_cor,MCC
validation,0.7518,0.7415,0.8867,0.9884,0.2081,0.8473,0.3371,0.3513
Test,0.421,0.3476,0.9917,0.9969,0.1635,0.5155,0.2807,0.2333
